Comments,Sentiment Score
"
Reference #18.95e854b8.1699984949.54e74f6c
",0.0
"
Good Scooter	",0.7
"Great quality at a lower price, the speed is better than other electric scooters, and it looks stylish with many features at a reasonable price.",0.3958333333333333
"
Speed comparison	",0.0
Good quality and lower price.Best speed comparison to other electronics scooty.Style also attractive and many features available on relivent price.,0.45499999999999996
"
Good scooter	",0.7
Good scooter to ride in normal way maximum speed not up to 41 km,0.425
"
Popularity loading	",0.0
"I bought a Honda Optima because I was having delivery problems with my restaurant food and other items as well. Now that I am happy with its performance and efficiency, my customers also appreciate it. We are never late for any kind of purpose. My raw materials also came on time. At this date, I am using 7 Honda Optima, and all are quite effective. It has 250 watts of maximum power, 50 km of riding range, telescopic suspension on both sides, and a CB braking system with a drum, which is good for my workers.",0.3563186813186813
"
Embodies the Spirit of Sustainable City Travel.	",0.0
"The Okinawa Ridge invites you to explore an undiscovered home. This electric motor scooter may give a veritably ultrapractical and effective boost for beginners to the megacity. Its satiny and truly ultrapractical project draws concentration. Because to the thorough webbing processes, you may travel with confidence. It has a remarkable range and is aimed for long peregrinations through megacities. The main argument I like this model is its unanticipated capacity to give, which makes it an excellent volition for individualities appearing for an electric scooter that matches their brazen-facedattitude.The electric motor on the two- wheeler is in fantastic shape and has an emotional range. It also seems unanticipated.",0.4095238095238095
"
Decent electric bike for the price	",0.16666666666666666
"I have been riding hero electric optima cx with dual battery in hyderabad since july, 2022 and here is my feedback: good: - two batteries, So you always have a backup - both batteries removable, So you can remove each battery separately and charge at home or anywhere.- two chargers provided that work for both batteries, So you can keep one at home and one in bike for emergencies.- low pricebad: - very low ground clearance, Bottom hits most of the speed breakers.- very slow on slopes.- slow on plain roads too with an adult pillion rider.- top speed of 45 kmph, Feels less on empty roads sometimes.- pathetic customer service and delivery experience.- not high quality materials used, Does not feel robust overall.",-0.03221088435374151
"
चार्जिंग में ज्याद	",0.0
"चार्जिंग में ज्यादा समय नहीं लगता इसकी टॉप स्पीड 45 kmph और सिंगल चार्ज पर बैटरी रेंज 108 km तक की है। इसे फुल चार्ज होने में 5 घंटे का समय लगता है। hero electric optima hx- dual battery मॉडल की कीमत 65, 640 रुपये (एक्स शोरूम, दिल्ली/एनसीआर) है। इसकी टॉप स्पीड 42 kmph और सिंगल चार्ज पर बैटरी रेंज 122 km तक की है।22-",0.0
"
Embrace Electric Mobility with Hero Electric Optim	",0.0
"With the Hero Electric Optima bike, embrace the versatility of power. This model has caught my heart as a result of the arrangement it offers trustworthy profit and a genuine feeling of solace while driving. The Hero Electric Optima gives agreeable seats and a smooth lift, icing a tomfoolery and harmless to the ecosystem occasion . Its electric motor communicates second power and a quiet showcase, pursuing it a choice that is ok for the environment. The Optima's surface plan oozes simplicity of I utilize day to day and reasonableness, while its highlights give solace and presence of mind. Specialists consider its modest working expenses, nonattendance of inrushes, and comfort.",0.1625
"
Decent electric bike for the price	",0.16666666666666666
