Comments,Sentiment Score
"
Stylish scooter	",0.5
"Okinawa praise pro has power of the 1000w. The electric motor is capable enough to pull out the driving range of 88 km and the pricing is starting from 97 thousands which makes it in higher side as per the specs. The claimed range of electric scooter is the 88 kmph but in actual driving it pulls only 55 kmph. It ihas modern features like keyless start, anti theft sensor, find my scooter and side stand sensor. Its led headlamps attached with the DRLs looks very stylish and indicators are placed on the steering part of the scooter.",0.1625
"
I am having okinawa praise	",0.0
"I am having okinawa praise pro scooter, It gave good performance for almost 1 year but after 1 year its mileage drop to 30 km per single charge.Giveen battery for service but their service is horrible its almost 4 month and battery did not get repaired.I would recomend go with brand atleast you will better service after sales.",0.03214285714285714
"
Good in unknown City	",0.3
"My family bought Okinawa about 7 months ago, and it gives perfect performance and an effective riding experience. I have used it for going to school and college.It is good for nearby riding and also for delivering work nearby. I like to ride it with my friends and enjoy the full riding thrill. It has a maximum power of 2500 watts and a rated power of 1000 watts. Once it is fully charged, it has a riding range of 88 km, and its maximum speed is 58 kmph. It has hydraulic suspensions, an E-CBS braking system, and disc brakes on both wheels, which make it safer.",0.61
"
Shooter gift	",0.0
Free gift me the shooter gift please send shooter non money,0.4
"
Worst experience	",-1.0
Worst experience with my vehicle.Multiple problems and no solutions.Since from the first week the problems has started.After the first service my rear shock absorbers were damaged and got replaced under warrenty.Later i got problems and the service was not acceptable.I pulled the vehicle for around 5 km since it stopped in the middle it's not the first time.My controller got burnt and replaced again it was damaged and again they replaced.Next my front shock absorber got oil leaked and they charged for that after 15days i got problem and they said alignment issue and front brake plates were replaced.They charged around 1800 overall mentioning won't be covered under warranty.Later same issue repeated the showroom people say that it's not because of the vehicle it's because of my driving.Worst experience with the vehicle and service.,-0.03571428571428571
"
the Essence of Electric Riding.	",0.0
"It's a terrible experience to ride the Okinawa PraisePro. It covers a lot of ground, involving interpretation and responsibility. It has an incidental project that's visually charming. Strong movie procedures guarantee the quality of the Rider movie. Because it impeccably strikes a balance between effectiveness and administration, it's the swish option for regular outward transportation. This model has come one of my favorite faves because of the features it offers. For anyone who values a secure and point- rich electric motorscooter, it's a greatoption.This electric two- wheeler is a future- acquainted investment for me. It's tasteful and long- lasting. A engine whose value will boost with time.",0.20833333333333334
"
Comfortable and efficient ride	",0.4
"This scooter provides a level of comfort that is hard to match. In addition to the ride quality, the iPraise+ also offers impressive mileage, with a range of over 120km on a single charge. This makes it suitable for daily travel and eliminates concerns about running out of charge during your commute. With its modern design, contoured front end, and LED lights, the iPraise+ is not only comfortable but also stylish. It even comes with basic electronic features and riding aids to enhance the overall experience. Although the footboard may be high for taller riders, the overall comfort and performance of the Okinawa iPraise+ make it an excellent choice for those seeking a comfortable and efficient ride.",0.24668154761904762
"
Fineness and efficacity	",0.0
"In a demesne of electric versatility , the Okinava Commendation Master arises as an undercover peculiarity of style and extravagance . Its feel consistently robe the progressive designing inside. The engine's ability murmurs promises of flurry, all while the battery's seeing imperativeness ensures odysseys untamed. Regenerative artfulness and natural intuitiveness embellish the experience. However, monetary contemplations warrant notice. Not with remaining, for specialists ofeco-accommodating transport, the Okinava Recognition Master coordinates an unmatched orchestra of fineness and efficacity, getting away the unremarkable with a quiet yet vibrant ability.",0.12916666666666665
"
Worst experience	",-1.0
Worst experience with my vehicle.Multiple problems and no solutions.Since from the first week the problems has started.After the first service my rear shock absorbers were damaged and got replaced under warrenty.Later i got problems and the service was not acceptable.I pulled the vehicle for around 5 km since it stopped in the middle it's not the first time.My controller got burnt and replaced again it was damaged and again they replaced.Next my front shock absorber got oil leaked and they charged for that after 15days i got problem and they said alignment issue and front brake plates were replaced.They charged around 1800 overall mentioning won't be covered under warranty.Later same issue repeated the showroom people say that it's not because of the vehicle it's because of my driving.Worst experience with the vehicle and service.,-0.03571428571428571
"
Worst Bike	",-1.0
"I am extremely disappointed with the quality of materials used, every bike is having frequent quality issues. I am getting frequent issues. Worst Bike. ",-0.3875
"
Bike is good but service	",0.7
Bike is good but service is very bad.Within a 2-year battery goes down.I have run only 8000km and in a one charge only 15km running.Dealers are worse very rude and never supported.Company also don\'t take action.Now almost 3 months gone i have given a battery in a service but update not geeting.Dealer told me it takes 5 months.Very bad service from company not even given backup battery.,-0.08428571428571428
"
Damn worst	",-1.0
"mileage is not good.Fitting is not okay.When it comes to service, No words to tell it's damn worst.Please don't buy and waste your money and energy.When i purchased the vehicle they said, If the vehicle stops or if it has any trouble.Call us with 20 to 30 minutes our tech people will come and solve the problem.But they took a whole day to come to the spot.Very irresponsible people.",0.0
"
Don't go with okinawa.. I	",0.0
"Don't go with okinawa.I have seen many problems related to lock, Stand, And after sale services.In.Jalna.Even owner don't picks the phone.How can we expect the employees will do.They never pick the phone.Else they switch off the phone.They are really not worried of after sales services and registration services, How the services like insurance, And service of anywhere leave your bike will work, As they charge for the same around 20000 /- for both above service.Really worst experience.",-0.09999999999999999
"Other useful features for the okinawa praise pro include adjustable brake levers, Central locking with anti-theft alarm, Keyless entry, Find my scooter functionality, And a usb outlet for charging mobile devices.With a big face and a traditional scooter shape, It also looks very excellent.Except when it silently passes by you, It is difficult to tell that it is an electric scooter.",-0.015625
"
Last month I bought it, stil	",0.0
"Last month i bought it, Stil i am very happy with all its features, Mileage, Changing etc.Demerits are -no boot spaces.(2 horn, Turbo speed, Indicator )switch position may require a little rearrangement.19nos services in manual book.Tomorrow my 1st servicing, Lets see the dealer experience.Some people said ev are more problem in rainy days, Waiting for that.",0.328125
"
I am having okinawa praise	",0.0
"I am having okinawa praise pro scooter, It gave good performance for almost 1 year but after 1 year its mileage drop to 30 km per single charge.Giveen battery for service but their service is horrible its almost 4 month and battery did not get repaired.I would recomend go with brand atleast you will better service after sales.",0.03214285714285714
Get Answers from 7 Lakh+ owners and auto-experts,0.0
"Get Best Price, Instant Payment & Free RC Transfer",0.4666666666666666
PraisePro - Find Offers in your City,0.1
Thanks for reporting this. The reported review will be shortly removed from Zigwheels &,0.1
will be sent for moderation.,0.0
Choose your city,0.0
,0.0
"

Thank you! Your question has been submitted and is under moderartion. 
",0.0
 You will receive all communications on : ,0.0
"
Reference #18.4842c31.1700065380.c387b05
",0.0
"MouthShut.com Would Like to Send You Push Notifications. Notification may includes alerts, activities & updates.",0.0
Concern / Feedback Form,0.0
"

",0.0
"

",0.0
Secure your account,0.4
Please enter your valid contact number to receive OTP.,0.0
Just one step away to protect your account with 2FA.,0.0
Protect your account by adding an extra layer of security.,0.0
