Comments,Sentiment Score
"
Look good and comfort rather	",0.7
"Look good and comfort rather economical too.After drive feel safe moreover electronic display is also attractive and technofriendly, Overall the bike is technosavy new age scooter.",0.406060606060606
"
Excellent performance	",1.0
"""It is loaded with feature and connected apps and gives good driving range. It gives excellent performance from the motor and looks very modern. It takes 6.5 hours for fully charge and the electric motor produce enough torque and gives highest claimed range. It is technology loaded like a hill hold system, voice assistance, and cruise control are the safety features and also gives bluetooth connectivity which allows to play music from the phone. It has good underseat storage and has outstanding road presence and gives a very good top speed around 116 kmph.
""",0.57125
"
I am totally disappointed	",-0.75
"I am totally disappointed buying s1pro it\'s grave mistake without finding out it\'s performance, And the company don\'t have faster customer support it\'s so frustrating, Regretful it\'s repair services takes forever.Sorry to say.",-0.575
"
Good Pickup	",0.7
"It's got good power, great pickup, excellent performance, and perfect control.",0.875
"
The Great Ola and The Bad	",0.0500000000000001
The great ola and the bad ola ola s1 pro is the topend model of s1 series.Pro means it have biggest battery and fastest motor in series.Its claimed range is 181 km.The pros:it have the most powerful motor in the segment.It have very good pickup.The 4kwh battery gives you assusrance of 100km(2 passengers/normal mode) or 125km(1 passengers/normal mode).That range is sufficient as an epectric scooter.Have great seat comfort means no issues for longer rides.Silent as hell.Many people like the sound their bike (vroom vroom) but it is very silent as it only motor and battery but they give you option to stimulate sound from speakers.The boot space is very good you can place two small size helmets easily.The display have good brightness you can see every details even in the sun.There are 4 modes in this ev scooter which lets you choose power or more kilometers.Its hyper mode is very powerful the scooter gets instant acceleration.The cons:it is very costly compared to any petrol bike or scooter the differnce in pricing will take about 35000km to 50000km or 3-4 years.You can't change modes if the system detects that you are using too much power.Normal mode will be stuck for the journey.It is not a reliable ev as it can broke down anytime without any reason.I myself faced this issue.Once you want to get it repaired you need to make a complaint to ola they will pickup your vehicle in 2-3 days and repair it in 2-3 days sometimes more.Basically once you compaint to repair it they will take about 1 week to fix your scooter and give it to you.Its build quality is pretty bad you can feel it on a bad road.Even in high speed winds you can feel that it is all plastic and can be blown away.The horn and indicator should have been like any other bike or scooters because their position is very illogical.Horn button specially is far from hand itself.The conclusion:it is a good ev but with lots of drawbacks.You may only buy it if you travel more than 60km daily only then its cost will be justified.Most of these issues are not only with this ev but all the ev but ola seriously need to work on it build quality and buttons.,0.1663562091503268
"
On May 4th, the OLA service	",0.0
"Beware of ola electric scam on may 4th, The ola service center(998v+4wh, Bhagya nagar colony, Hydershakote, Telangana 500091) personnel took my brand new ola s1 pro(ts08dbtr7401, Order id: oet-646****403) by van, Claiming it had suffered a rodent attack and could only be repaired at their service center.On may 11th, I received a call requesting a payment of rs.6345.86 through online mode for the repair of the scooter.I made the payment as requested.They assured me that the scooter would be delivered by van to my location.However, Instead of delivering it by van, They rode it to my location, Which is approximately 35km away from the ola service center.As the owner of the scooter, I hadn't even ridden it yet as it was brand new.While inspecting the scooter in the presence of the ola service center delivery personnel, I noticed that the brand new ola s1 pro's side stand had been replaced with an old, Damaged one.When i brought this to the attention of mr.Cornelius lewis(ph #: 070320 87244), The manager of the ola service center, He behaved rudely and showed a complete lack of respect for customers.He told me to do whatever i could and that he didn't care.His behavior was reminiscent of that of a rowdy individual.We discovered the issue with the side stand because it was visible, But how are customers supposed to know if the internal parts, Which are not visible, Have also been replaced with old ones? i now feel like i have been scammed by the ola service center, As they replaced the brand new parts in my scooter with old ones.When i received the delivery of my brand new ola s1 pro, The odometer reading was 2.2 kilometers.However, When the ola service center personnel took the scooter for repair, The reading was 15 kilometers.And when they delivered the scooter from the ola service center, The reading was 55 kilometers.I now feel like i have been given a used, Second-hand ola scooter instead of a brand new one.",-0.0062200956937799095
"
On May 4th, the OLA service	",0.0
"On may 4th, The ola service center(998v+4wh, Bhagya nagar colony, Hydershakote, Telangana 500091) personnel took my brand new ola s1 pro(ts08dbtr7401, Order id: oet-64 63 73 21 31 50 42 3-wx j4 03) by van, Claiming it had suffered a rodent attack and could only be repaired at their service center.On may 11th, I received a call requesting a payment of rs.6345.86 through online mode for the repair of the scooter.I made the payment as requested.They assured me that the scooter would be delivered by van to my location.However, Instead of delivering it by van, They rode it to my location, Which is approximately 35km away from the ola service center.As the owner of the scooter, I hadn\'t even ridden it yet as it was brand new.While inspecting the scooter in the presence of the ola service center delivery personnel, I noticed that the brand new ola s1 pro\'s side stand had been replaced with an old, Damaged one.When i brought this to the attention of mr.Cornelius lewis(ph #: 070320 87244), The manager of the ola service center, He behaved rudely and showed a complete lack of respect for customers.He told me to do whatever i could and that he didn\'t care.His behavior was reminiscent of that of a rowdy individual.We discovered the issue with the side stand because it was visible, But how are customers supposed to know if the internal parts, Which are not visible, Have also been replaced with old ones? i now feel like i have been scammed by the ola service center, As they replaced the brand new parts in my scooter with old ones.When i received the delivery of my brand new ola s1 pro, The odometer reading was 2.2 kilometers.However, When the ola service center personnel took the scooter for repair, The reading was 15 kilometers.And when they delivered the scooter from the ola service center, The reading was 55 kilometers.I now feel like i have been given a used, Second-hand ola scooter instead of a brand new one.",-0.0062200956937799095
"
On May 4th, the OLA service	",0.0
